Sachin Tendulkar,,Sachin Tendulkar,,35320
Sourav Ganguly,,Sourav Ganguly,,28779
Shane Watson,,Shane Watson,,8180
Wasim Akram,,Wasim Akram,,870007
jasprit Bumrah,,jasprit Bumrah,,625383
Lasith malinga,,Lasith malinga,,49758
Martin Guptill,,Martin Guptill,,226492
Ajantha Mendis,,Ajantha Mendis,,268739
Ricky Ponting,,Ricky Ponting,,7133
Eoin Morgan ,,Eoin Morgan ,,24598
Andre Flintoff,,Andre Flintoff,,12856
